Footwear,Day,Time,Residuals
Barefoot,1,12.57,0.138703704
Barefoot,1,12.02,-0.411296296
Running Shoes,1,12.22,-0.564259259
Running Shoes,1,12.95,0.165740741
Running Shoes,1,12.21,-0.574259259
Barefoot,1,12.31,-0.121296296
Running Shoes,1,12.35,-0.434259259
Running Shoes,1,12.37,-0.414259259
Barefoot,1,12.4,-0.031296296
Barefoot,1,12.23,-0.201296296
Barefoot,1,12.51,0.078703704
Running Shoes,1,12.58,-0.204259259
Running Shoes,1,13.07,0.285740741
Running Shoes,1,13.02,0.235740741
Barefoot,1,12.34,-0.091296296
Barefoot,1,13.21,0.778703704
Running Shoes,1,13.22,0.435740741
Barefoot,1,13.36,0.928703704
Barefoot,2,12.51,-0.136851852
Barefoot,2,12.07,-0.576851852
Barefoot,2,12.11,-0.536851852
Running Shoes,2,12.28,-0.719814815
Running Shoes,2,12.35,-0.649814815
Barefoot,2,12.19,-0.456851852
Barefoot,2,12.33,-0.316851852
Running Shoes,2,12.41,-0.589814815
Barefoot,2,12.38,-0.266851852
Running Shoes,2,12.56,-0.439814815
Running Shoes,2,13.01,0.010185185
Barefoot,2,12.59,-0.056851852
Barefoot,2,13.05,0.403148148
Barefoot,2,13.11,0.463148148
Running Shoes,2,13.55,0.550185185
Running Shoes,2,14.07,1.070185185
Running Shoes,2,14.1,1.100185185
Running Shoes,2,14.15,1.150185185
Barefoot,3,12.28,-0.407407407
Running Shoes,3,12.25,-0.79037037
Running Shoes,3,12.3,-0.74037037
Running Shoes,3,12.39,-0.65037037
Running Shoes,3,12.55,-0.49037037
Barefoot,3,12.42,-0.267407407
Barefoot,3,12.2,-0.487407407
Barefoot,3,12.27,-0.417407407
Running Shoes,3,12.36,-0.68037037
Barefoot,3,12.38,-0.307407407
Barefoot,3,12.45,-0.237407407
Running Shoes,3,13.48,0.43962963
Running Shoes,3,13.51,0.46962963
Running Shoes,3,14.01,0.96962963
Running Shoes,3,14.1,1.05962963
Barefoot,3,13.58,0.892592593
Barefoot,3,13.47,0.782592593
Barefoot,3,13.55,0.862592593
